PC1,PC2,PC3,Cluster_ID,Cluster_Nombre,Recency,Frequency,Monetary,ID_Cliente
0.7377425139675887,-0.4767349461582635,0.10609785428972161,2,Habitual Moderado,3,66,506437.0,1
-0.6733220180511696,-0.009797984407947661,0.6825987387847958,2,Habitual Moderado,6,16,122671.0,2
1.5753111948849352,-0.05342006046129167,-0.37995705892124165,8,VIP Moderado,3,151,1095611.0,3
-0.8078399658420148,-1.1427205701747116,-0.08397364323490569,2,Habitual Moderado,29,11,39092.0,4
-1.8527207528862215,-0.6693963924106004,-1.2622420263176166,1,Ocasional Inactivo (Limpieza),49,1,2167.0,5
1.319312529191392,0.072251117128864,-0.26482495415533663,8,VIP Moderado,1,124,859836.0,6
-4.197696195609701,5.786159362268776,-2.9368132187095815,4,Ocasional Inactivo (Lácteos),470,1,2069.0,7
-0.5075782648223067,-0.9792616830411814,-0.9764201257252721,2,Habitual Moderado,8,14,56025.0,8
0.2322662536617923,-0.6369920802130716,-0.043732416878238714,2,Habitual Moderado,5,61,379772.0,9
2.522587839047984,0.5716995947972449,0.044502303675538354,8,VIP Moderado,0,247,1708791.0,10
-1.0319796908306331,-0.5000653850785864,0.7057749445531881,2,Habitual Moderado,4,6,20483.0,11
0.21117719624996387,-0.5618001028176605,0.1257788776126224,2,Habitual Moderado,3,47,329304.0,12
3.8252787774132453,1.2109976582524584,0.27621354425215505,3,VIP Premium Activo,4,357,2483808.0,13
0.22971323700907414,-1.3561279883013022,-0.6393288338627484,2,Habitual Moderado,10,28,232987.0,14
-0.40654828128238296,-1.865325628299457,0.33269647359726795,2,Habitual Moderado,1,9,105254.0,15
0.9130142338835812,-0.595821730320722,0.29729475646309217,2,Habitual Moderado,4,77,571156.0,16
0.18213421285625717,-0.19632762522370742,-0.016315695062223502,2,Habitual Moderado,6,54,321419.0,17
0.6708640003936419,0.11404711067187207,0.21008036605296454,2,Habitual Moderado,1,93,504456.0,18
-0.6540551252179632,0.13245206314681734,-0.2552545206933901,2,Habitual Moderado,0,18,171223.0,19
0.4652557498552187,-0.4394044668186399,-0.4346411715740166,2,Habitual Moderado,10,53,409112.0,20
-0.512942919305975,-0.21652703403392223,0.9612949301787534,2,Habitual Moderado,2,22,173878.0,21
-0.4739208975007991,-0.6244448061118689,0.49155102812044316,2,Habitual Moderado,1,18,154606.0,22
1.910614779680784,0.3988486795163779,0.3770157452612916,8,VIP Moderado,2,193,1238972.0,23
1.1822563726457422,0.23751867826884496,-0.35753574498108726,8,VIP Moderado,2,128,699305.0,24
-1.4737727557818314,-0.19437213508908394,0.9006404658458163,2,Habitual Moderado,31,2,18175.0,25
-0.5948395760155768,-1.006781452335277,0.7720736277467602,2,Habitual Moderado,80,14,64114.0,26
-3.3134420637306095,2.1411695263999695,0.48669410460465207,5,Ocasional Inactivo (Bebidas),186,1,13076.0,27
1.0481191558740728,0.01759877518158123,0.06332708017923146,8,VIP Moderado,6,104,732510.0,28
-0.5011799873124317,-0.11495434757942666,-0.6104445200693692,2,Habitual Moderado,19,24,132660.0,29
0.2656012018369825,-0.5105073529326019,-0.5012281778428357,2,Habitual Moderado,10,58,334601.0,30
-0.24003905405443912,-0.5394704265535554,-0.7747269205019366,2,Habitual Moderado,70,22,177201.0,31
-0.19425756812647332,-0.612243008458131,-0.3320019237531696,2,Habitual Moderado,4,25,172114.0,32
-0.5711166828185664,-0.08752604603182121,0.26328114905693945,2,Habitual Moderado,55,18,135314.0,33
-1.6007187275359054,0.25647562438202115,2.2514832369484328,7,Ocasional Inactivo (Despensa),20,4,25581.0,34
0.49885707610024577,-0.69219945194137,0.16896349525859125,2,Habitual Moderado,19,55,393276.0,35
0.5934166563508678,-0.9375151697574514,-0.7094614672370333,2,Habitual Moderado,13,59,342752.0,36
-0.13989664185690145,-1.142418824210301,-1.4642508410239272,2,Habitual Moderado,10,15,137787.0,37
-0.5884298492557419,-0.710789522942269,-0.07852669887909883,2,Habitual Moderado,31,16,79131.0,38
-0.5677619591470173,-1.8796564322454459,-1.4214126446008664,2,Habitual Moderado,0,5,66884.0,39
-1.0757421540359386,0.1827591380623412,0.3957993533342878,2,Habitual Moderado,4,8,43783.0,40
2.8766429364764514,0.5246030229119566,0.4431024896761813,8,VIP Moderado,1,253,2046896.0,41
1.2265448316903866,0.5336007054365736,-0.1483142588656872,8,VIP Moderado,3,131,785293.0,42
5.674546821339766,2.4148962740839686,0.5649796754581803,3,VIP Premium Activo,0,582,3979425.0,43
-3.9197821908125094,5.509460003286122,-3.0619417171790184,4,Ocasional Inactivo (Lácteos),357,1,2069.0,44
3.4777747001311328,1.1841567573142673,0.2531205468168211,8,VIP Moderado,0,356,2062822.0,45
2.4355168300387295,0.055883897569545565,0.16339685419115302,8,VIP Moderado,0,183,1734137.0,46
-0.5722942233881566,-0.21311205545612816,0.054737558326216976,2,Habitual Moderado,17,19,81514.0,47
-0.26833861048028657,0.02471368832857367,-0.036751222324208244,2,Habitual Moderado,1,25,206752.0,48
2.8547323801295668,0.6061803282156041,-0.19417267586843454,8,VIP Moderado,1,241,1739500.0,49
-1.2614292762566217,1.0827768784437355,-1.541330606917362,2,Habitual Moderado,24,11,70858.0,50
-0.05203604235937962,-0.8584601661124192,-0.09290413411165203,2,Habitual Moderado,3,22,192801.0,51
2.5652408656752512,0.7818432659507005,0.08172418336062802,8,VIP Moderado,5,225,1753917.0,52
5.583705604304803,2.53083657069976,0.698801876734829,3,VIP Premium Activo,1,562,4064936.0,53
0.8710817621144311,0.010704654822516754,-0.3872715158202115,2,Habitual Moderado,13,110,593546.0,54
0.3758924776346196,-0.47082285228124393,-0.388777827748967,2,Habitual Moderado,9,47,321992.0,55
0.6114554848713004,-0.37165683067027405,-0.01729720388002,2,Habitual Moderado,3,64,450385.0,56
-0.6370744152138342,-1.2897438335297624,0.45596031769088685,2,Habitual Moderado,25,10,85716.0,57
2.0380917736908986,0.44364944299126446,-0.02469572617005677,8,VIP Moderado,6,194,1295764.0,58
0.08771561970385755,-0.07755626365972572,0.2400997022567175,2,Habitual Moderado,10,48,330333.0,59
-1.6152683110718784,0.30987740356085475,2.0340093531180923,7,Ocasional Inactivo (Despensa),2,4,31996.0,60
0.07730533249084516,-0.8742843577843336,0.4400311167295714,2,Habitual Moderado,0,25,235539.0,61
-3.848752132283525,5.438260927386684,-3.0941021281504435,4,Ocasional Inactivo (Lácteos),328,1,1571.0,62
